,MturkID,name,subID,drive_name,drive_index,time_date,Intersection_1_positive1,Intersection_1_positive2,Intersection_1_satisfaction1,Intersection_1_satisfaction2,Intersection_1_satisfaction3,Intersection_1_wellbeing,Intersection_1_perception,Intersection_1_trust1,Intersection_1_trust2,Intersection_2_Intention,Intersection_3_positive1,Intersection_3_positive2,Intersection_3_satisfaction1,Intersection_3_satisfaction2,Intersection_3_satisfaction3,Intersection_3_wellbeing,Intersection_3_perception,Intersection_3_trust1,Intersection_3_trust2
0,,value,8,3200,0,Tue Jan 03 2023 11:55:30 GMT-0800 (Pacific Standard Time),6,6,7,7,7,7,6,6,6,2,5,5,5,5,7,7,7,7,7
4,,value,9,3200,0,Tue Jan 03 2023 15:21:13 GMT-0600 (Central Standard Time),6,6,7,6,5,7,6,6,7,1,5,6,7,6,7,5,6,7,7
5,,value,3,2101,0,Tue Jan 03 2023 12:51:48 GMT-0500 (Eastern Standard Time),6,6,6,7,7,6,6,6,6,1,6,6,6,7,7,6,6,6,6
7,,value,2,2101,0,Tue Jan 03 2023 09:47:20 GMT-0800 (Pacific Standard Time),5,5,5,7,5,5,5,7,7,1,7,6,6,6,6,6,6,5,5
10,,value,1,2100,0,Tue Jan 03 2023 12:47:11 GMT-0500 (Eastern Standard Time),6,5,7,7,6,7,7,7,6,2,7,7,7,6,7,7,7,7,6
11,,value,8,1400,1,Tue Jan 03 2023 11:55:30 GMT-0800 (Pacific Standard Time),3,3,1,4,3,1,2,3,3,1,1,1,1,2,2,2,2,2,2
12,,value,2,4300,1,Tue Jan 03 2023 09:47:20 GMT-0800 (Pacific Standard Time),5,5,5,6,6,7,5,7,7,1,6,5,6,7,7,7,7,5,5
13,,value,3,4301,1,Tue Jan 03 2023 12:51:48 GMT-0500 (Eastern Standard Time),6,5,6,7,6,6,7,6,6,2,5,3,6,7,6,6,7,5,6
16,,value,1,4301,1,Tue Jan 03 2023 12:47:11 GMT-0500 (Eastern Standard Time),6,5,6,7,7,7,7,6,7,1,7,7,7,7,7,7,7,7,7
17,,value,9,1401,1,Tue Jan 03 2023 15:21:13 GMT-0600 (Central Standard Time),5,6,7,7,7,7,7,6,7,2,3,5,3,5,6,5,6,7,6
